FETION_FLAG,MOBMAIL_FLAG,MOBNEWS_FLAG,TIMENEWS_FLAG,CR_FLAG,WIRELESS_ADV_USR_FLAG,WIRELESS_MUS_FLAG,CR_BOX_FLAG,PIM_FLAG,SMSRTN_FLAG,HOTEL_PREORD_CALL_FLAG,AER_PREORD_FLAG,MO_CALL_12580_FLAG,MOBPAY_FLAG,MOBDOWN_FLAG,mms_flag,gprs_flag,quanqu_down_flag,khbm
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11357
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11370
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11375
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11387
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,11394
0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,11409
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11436
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11453
0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11462
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11472
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11478
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11507
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11515
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11523
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,11527
0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,11529
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,11530
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11552
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11553
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11565
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11569
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11571
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,11577
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11580
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,11584
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11597
0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11599
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11603
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11615
0,0,0,0,0,0,0,0,0,0,,,,,,0,1,0,11627
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11629
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11640
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11670
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11672
